                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1519,                 0.8472,                 1.2064,                0.99534,                0.99919,                  0.995,                0.71961,                 1.0154,                0.59322,                 1.1892,              0.0015581,              0.0015581,              0.0015581
                     36,                 1.2751,                0.85884,                 1.2974,                0.99594,                 0.9997,                  0.995,                0.71955,                 1.0639,                0.61692,                 1.2193,              0.0015548,              0.0015548,              0.0015548
                     37,                 1.1943,                 0.8388,                 1.2167,                0.99659,                      1,                  0.995,                0.70402,                 1.0825,                0.58381,                 1.2366,              0.0015515,              0.0015515,              0.0015515
                     38,                 1.2168,                 0.8093,                 1.2143,                0.99808,                      1,                  0.995,                0.68346,                 1.1444,                0.58862,                  1.264,              0.0015482,              0.0015482,              0.0015482
                     39,                 1.2365,                0.84734,                 1.2566,                0.99845,                      1,                  0.995,                0.69541,                  1.115,                0.60919,                 1.2501,              0.0015449,              0.0015449,              0.0015449
                     40,                 1.1684,                0.79366,                 1.1957,                0.98672,                0.99437,                  0.995,                0.72516,                  1.022,                0.62366,                    1.2,              0.0015416,              0.0015416,              0.0015416
                     41,                 1.1413,                0.79074,                 1.2089,                0.78861,                 0.8646,                0.89488,                0.61584,                 1.1343,                 1.0725,                 1.2698,              0.0015383,              0.0015383,              0.0015383
                     42,                 1.1249,                0.73813,                 1.1783,                0.99843,                      1,                  0.995,                0.67597,                 1.1666,                0.55725,                 1.2825,               0.001535,               0.001535,               0.001535
                     43,                 1.1876,                0.75917,                 1.1992,                0.99054,                0.98696,                0.99467,                0.71283,                 1.0156,                0.57918,                 1.1937,              0.0015317,              0.0015317,              0.0015317
                     44,                 1.1466,                0.79227,                  1.214,                0.99812,                      1,                  0.995,                0.72178,                  1.016,                0.56409,                 1.1938,              0.0015284,              0.0015284,              0.0015284
                     45,                 1.1241,                0.76893,                 1.1933,                0.99328,                      1,                  0.995,                0.68537,                 1.1042,                0.61838,                 1.2607,              0.0015251,              0.0015251,              0.0015251
                     46,                 1.1489,                 0.7261,                 1.1941,                0.99629,                      1,                  0.995,                0.70495,                 1.0577,                 0.5574,                 1.2218,              0.0015218,              0.0015218,              0.0015218
                     47,                 1.1694,                0.71932,                 1.2046,                0.99598,                      1,                  0.995,                0.68075,                  1.114,                0.56812,                 1.2597,              0.0015185,              0.0015185,              0.0015185
                     48,                 1.1815,                0.78795,                 1.2434,                0.99773,                      1,                  0.995,                0.67628,                  1.137,                0.56169,                 1.2784,              0.0015152,              0.0015152,              0.0015152
                     49,                 1.1729,                0.75757,                 1.2163,                0.99274,                      1,                  0.995,                0.70438,                 1.0677,                0.53767,                 1.2201,              0.0015119,              0.0015119,              0.0015119
                     50,                  1.152,                0.73577,                  1.208,                0.99821,                      1,                  0.995,                0.71629,                  1.071,                0.51599,                 1.2032,              0.0015086,              0.0015086,              0.0015086
                     51,                 1.1503,                0.71814,                 1.1877,                0.99866,                      1,                  0.995,                0.70944,                 1.0472,                0.59866,                 1.1908,              0.0015053,              0.0015053,              0.0015053
                     52,                 1.1859,                0.72892,                 1.2167,                0.99776,                0.99989,                  0.995,                0.70253,                 1.0616,                0.58687,                 1.2128,               0.001502,               0.001502,               0.001502
                     53,                 1.2136,                0.79324,                 1.2798,                  0.999,                      1,                  0.995,                0.70916,                 1.0693,                0.49824,                 1.2193,              0.0014987,              0.0014987,              0.0014987
